Model,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes_40,0.87279597,0.577813505,0.639501779,0.526979472,0.87562087,0.60822721
Random Forest_40,0.923319124,0.702163688,0.66405694,0.74491018,0.910161116,0.738469559
Support Vector Machine_40,0.902296067,0.637946509,0.632384342,0.643607389,0.885118353,0.664812577
AdaBoost Classifier_40,0.900406898,0.627266135,0.615658363,0.63932003,0.881171835,0.635997519
Gradient Boosting Classifier_40,0.912565394,0.640652996,0.572597865,0.727067329,0.866551734,0.637750172
