Model,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes_48,0.75,0.47126319,0.818505338,0.330887642,0.869232497,0.593424709
Random Forest_48,0.914890525,0.693849103,0.708540925,0.679754182,0.906923907,0.726639894
Support Vector Machine_48,0.894690951,0.630774457,0.660854093,0.60331384,0.882511154,0.656044029
AdaBoost Classifier_48,0.884324743,0.619624084,0.692170819,0.560841984,0.877634118,0.625117997
Gradient Boosting Classifier_48,0.906849448,0.64696163,0.627046263,0.668183542,0.863725871,0.62752287
