Model,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes_26,0.91863969,0.425531915,0.355329949,0.53030303,0.869150092,0.488691603
Random Forest_26,0.925726216,0.698782732,0.625720812,0.774299065,0.912498912,0.749045543
Support Vector Machine_26,0.918467499,0.471245114,0.428426396,0.523573201,0.859953966,0.492416362
AdaBoost Classifier_26,0.909169178,0.407636159,0.368527919,0.456030151,0.820875837,0.370393503
Gradient Boosting Classifier_26,0.917003874,0.264122137,0.175634518,0.532307692,0.776554718,0.321198325
