,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes,0.9251829530779165,0.23972003499562552,0.13908629441624365,0.8670886075949367,0.8473125098490527,0.4644449195495887
Random Forest,0.9320705983641843,0.40181956027293403,0.26903553299492383,0.7934131736526946,0.8813101508516744,0.5596049957235093
Support Vector Machine,0.9256995264743866,0.47281612706169823,0.3928934010152284,0.593558282208589,0.8647115481039678,0.512264534400998
AdaBoost Classifier,0.9151958674128282,0.38321853475266127,0.31065989847715736,0.5,0.8256988410350936,0.38995200335844327
Gradient Boosting Classifier,0.9208781747739991,0.2510187449062755,0.15634517766497463,0.6363636363636364,0.7898096088553133,0.3747951570563707
