Model,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes_33,0.900067816,0.557960146,0.463345196,0.701130856,0.880199972,0.625326453
Random Forest_33,0.92467545,0.703074279,0.655160142,0.75854965,0.912963413,0.742937792
Support Vector Machine_33,0.905735323,0.644111192,0.626690391,0.662528217,0.888492312,0.674247318
AdaBoost Classifier_33,0.904669638,0.623853211,0.580782918,0.673823287,0.885108575,0.655720085
Gradient Boosting Classifier_33,0.914115481,0.64203513,0.565836299,0.741950537,0.870575816,0.652733715
