Model,Accuracy,F1 Score,Recall,Precision,ROC-AUC,PR-AUC
Multinomial Naive Bayes_8,0.869889556,0.090108401,0.047330961,0.936619718,0.850217556,0.57817421
Random Forest_8,0.926564619,0.691995124,0.606049822,0.806344697,0.911834406,0.747492492
Support Vector Machine_8,0.919976749,0.665044607,0.583629893,0.772855796,0.897092283,0.708452176
AdaBoost Classifier_8,0.917360977,0.642497904,0.545551601,0.781345566,0.901179621,0.698426462
Gradient Boosting Classifier_8,0.917893819,0.62173622,0.495729537,0.833632555,0.872026752,0.678068227
